1,60,1792,High,Unusual Spending Pattern,Closed
2,64,699,High,Multiple Failed Logins,Open
3,50,501,Low,Foreign Transaction,Open
4,42,239,Medium,Large Purchase,Open
5,1,996,Low,Multiple Transactions,Investigating
6,37,440,High,Unusual Spending Pattern,Investigating
7,59,347,Low,Unusual Spending Pattern,Closed
8,58,1535,Low,Foreign Transaction,Open
9,38,1859,Low,Foreign Transaction,Investigating
10,65,318,Medium,Large Purchase,Open
11,98,1146,Medium,Large Purchase,Open
12,12,1428,Medium,Multiple Failed Logins,Open
13,21,1131,High,Large Purchase,Resolved
14,4,1507,Low,Foreign Transaction,Resolved
15,5,1658,Low,Multiple Failed Logins,Open
16,22,1671,Medium,Foreign Transaction,Closed
17,55,677,High,Unusual Spending Pattern,Investigating
18,5,788,Low,Unusual Spending Pattern,Closed
19,89,1855,High,Large Purchase,Investigating
20,88,169,Low,Large Purchase,Resolved
21,97,1416,High,Large Purchase,Investigating
22,64,1505,Medium,Multiple Failed Logins,Resolved
23,78,237,Low,Large Purchase,Closed
24,79,160,High,Multiple Failed Logins,Resolved
25,39,766,Low,Unusual Spending Pattern,Open
26,34,1037,Medium,Multiple Failed Logins,Open
27,100,1077,High,Multiple Transactions,Closed
28,53,67,High,Large Purchase,Closed
29,28,153,High,Large Purchase,Resolved
30,23,241,Low,Large Purchase,Open
31,80,1203,Medium,Unusual Spending Pattern,Closed
32,17,864,Medium,Multiple Transactions,Closed
33,24,1732,Medium,Multiple Failed Logins,Investigating
34,78,1815,High,Large Purchase,Investigating
35,3,1939,Medium,Multiple Transactions,Resolved
36,50,272,Low,Unusual Spending Pattern,Resolved
37,72,932,Low,Multiple Transactions,Open
38,70,184,Medium,Foreign Transaction,Open
39,4,1967,Low,Multiple Failed Logins,Resolved
40,62,1955,Medium,Multiple Transactions,Resolved
41,21,1238,Low,Unusual Spending Pattern,Investigating
42,100,520,Medium,Multiple Transactions,Investigating
43,76,630,High,Multiple Transactions,Investigating
44,23,241,High,Large Purchase,Investigating
45,70,1771,Low,Multiple Transactions,Resolved
46,9,1542,Medium,Multiple Failed Logins,Closed
47,11,1076,Low,Unusual Spending Pattern,Closed
48,14,426,High,Large Purchase,Closed
49,3,1722,Medium,Multiple Failed Logins,Resolved
50,63,1777,High,Large Purchase,Resolved
51,21,783,Low,Multiple Transactions,Investigating
52,34,1770,High,Large Purchase,Open
53,14,948,High,Large Purchase,Closed
54,20,150,High,Unusual Spending Pattern,Investigating
55,76,1125,Medium,Large Purchase,Investigating
56,49,1071,Medium,Unusual Spending Pattern,Open
57,78,835,Medium,Large Purchase,Closed
58,56,1956,Low,Multiple Failed Logins,Investigating
59,92,645,High,Large Purchase,Closed
60,23,802,Low,Multiple Transactions,Investigating
61,50,1334,Medium,Large Purchase,Investigating
62,78,615,High,Multiple Transactions,Closed
63,32,317,Medium,Multiple Failed Logins,Open
64,34,1612,Medium,Multiple Transactions,Closed
65,17,1779,High,Multiple Failed Logins,Closed
66,90,395,Medium,Multiple Failed Logins,Resolved
67,59,1478,Medium,Large Purchase,Closed
68,67,1617,High,Multiple Failed Logins,Open
69,35,600,Low,Unusual Spending Pattern,Closed
70,20,850,Low,Multiple Transactions,Resolved
71,63,1243,High,Unusual Spending Pattern,Open
